Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Library Name,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,BioSampleModel,Collection_Date,doi_results,PMIDs,RunCount,replicate,geo_location,lat lon,country,growth_conditions,sample_conditions,tissue,time,treatment,genotype,trait,soil_type,rainfall,soil_fertilized,tissue_ontology,time_ontology,treatment_ontology,trait_ontology,lat_decimal,lon_decimal
ERR5881912,RNA-Seq,202,6874016166,PRJEB44480,SAMEA8659526,,1975630395,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525443,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,11,ERP128535,2022-07-18,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19°34'08.0S| 147°19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,Q135,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5880619,RNA-Seq,202,7173776894,PRJEB44480,SAMEA8663682,,2028601309,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5524150,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,22,ERP128535,2022-07-18,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19?34'08.0S| 147?19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,Q135,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881901,RNA-Seq,202,6590308782,PRJEB44480,SAMEA8663689,,1873691431,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525432,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,29,ERP128535,2022-07-18,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19?34'08.0S| 147?19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,SRA1,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881831,RNA-Seq,202,6378393208,PRJEB44480,SAMEA8663694,,1801972540,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525362,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,34,ERP128535,2022-07-14,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19?34'08.0S| 147?19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,Q238,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881820,RNA-Seq,202,7570365716,PRJEB44480,SAMEA8659525,,2148351779,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525351,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,10,ERP128535,2022-07-25,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19°34'08.0S| 147°19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 5,Stem Internode,,,Q135,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881663,RNA-Seq,202,6665011614,PRJEB44480,SAMEA8659523,,1900337720,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525194,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,8,ERP128535,2022-07-15,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19°34'08.0S| 147°19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,SRA2,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881618,RNA-Seq,202,6462740126,PRJEB44480,SAMEA8663691,,1865471100,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525149,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,31,ERP128535,2022-07-23,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19?34'08.0S| 147?19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,Q186,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881616,RNA-Seq,202,7820830768,PRJEB44480,SAMEA8663685,,2229191192,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525147,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,25,ERP128535,2022-07-20,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19?34'08.0S| 147?19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,SRA3,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881604,RNA-Seq,202,7283780034,PRJEB44480,SAMEA8659522,,2073337267,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525135,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,7,ERP128535,2022-07-17,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19°34'08.0S| 147°19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 5,Stem Internode,,,Q124,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
ERR5881566,RNA-Seq,202,6638930990,PRJEB44480,SAMEA8659520,,1896434429,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525097,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15,5,ERP128535,2022-07-25,1.0,,2018-01,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,360,,19°34'08.0S| 147°19'30.7E| | Australia| Oceania,19°34'08.0S 147°19'30.7E,Australia,Field,Culm| Internode 8,Stem Internode,,,SRA3,,,7-day flood irrigation schedule,"N 160 kg/ha, p kg/ha, k kg/ha and s 20 kg/ha",PO:0020142,,,,-19.56888888888889,147.32519444444443
