Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,geo_loc_name_country,geo_loc_name_country_continent,Library Name,BioSampleModel,tissue,geo_loc_name,Cultivar,dev_stage,age,Collection_Date,isolate,Ecotype,treatment,replicate,genotype,collected_by,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),geographic_location_(country_and/or_sea),isolation_and_growth_condition,plant_developmental_stage,plant_growth_medium,plant_structure,lat_lon,geographic_location_(latitude),geographic_location_(longitude),sample_type,BIOMATERIAL_PROVIDER,ENA_first_public,ENA_last_update,organism_common_name,Source_material_identifiers,subspecific_genetic_lineage_name,growth_protocol,isolation_source,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_name,Submitter_Id,ENA_first_public.1,ENA_last_update.1,INSDC_center_alias,PHENOTYPE,common_name,replicates,Biological_Replicate,height_or_length,Illumina_Hi_Seq_Lane,temp,disease,HOST,Collection_time,geographic_location,id,disease_stage,extra,info,population,source_name,taxonomy_ID,GEO_Accession (exp),isol_growth_condt,estimated_size,growth_phase,design_description,filename2,filename,filetype,INSTRUMENT_MODEL,Library_ID,platform,BIOME,feature,material,nominal_length (run),num_replicons,ploidy,propagation,ref_biomaterial,run_id (run),file1,file2,Scientific_Name,library_layout,library_selection,library_source,library_strategy,sample_description,title,source_materual_identifers,cell_type,filename2 (run),filename (run),filetype (run),Label,platform (run),sample_name (run),uniqueID,env_broad_scale,env_local_scale,env_medium,geographic_location_(region_and_locality),replication,number_of_replicons,BREED,altitude,Broker_name,DNA_extraction_protocol (exp),DNA/RNA_Source (exp),environmental_package,geographic_location_(countryand/orsea,region),investigation_type,Library_Construction_(insert_size_bp) (exp),Library_Construction_(insert_size_median_bp) (exp),library_construction_protocol (exp),project_name,Sequencing_method,strain,aliquot,cell_line,PMIDs,PMID_count,Primary_PMID,PMID_source,scholar_articles_count,scholar_total_citations,scholar_avg_citations,scholar_max_citations,scholar_top_article,scholar_processed,scholar_timestamp,scholar_links,doi_count,doi_results,failed_links,success_rate,RunCount
ERR5880619,RNA-Seq,202,7173776894,PRJEB44480,SAMEA8663682,2028601309,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5524150,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,22,ERP128535,2022-07-18T12:25:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 8,Field,Culm,,19?34'08.0S,147?19'30.7E,,,2021-12-15,2021-12-15,Sugarcane,Culm Sugarcane,Q135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5880620,RNA-Seq,202,6820275682,PRJEB44480,SAMEA8663683,1930474199,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5524151,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,23,ERP128535,2022-07-20T16:00:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 5,Field,Culm,,19?34'08.0S,147?19'30.7E,,,2021-12-15,2021-12-15,Sugarcane,Culm Sugarcane,Q253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5880736,RNA-Seq,202,6692273938,PRJEB44480,SAMEA8659510,1909939693,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5524267,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,1,ERP128535,2022-07-25T18:43:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 8,Field,Culm,,19D34'08.0''S,147D19'30.7''E,,,2021-12-15,2021-12-15,Sugarcane,Culm sugarcane,SRA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5881329,RNA-Seq,202,6014091258,PRJEB44480,SAMEA8659512,1708046770,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5524860,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,3,ERP128535,2022-07-14T18:50:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 8,Field,Culm,,19D34'08.0''S,147D19'30.7''E,,,2021-12-15,2021-12-15,Sugarcane,Culm sugarcane,SRA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5881408,RNA-Seq,202,6199011552,PRJEB44480,SAMEA8659511,1774346793,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5524939,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,2,ERP128535,2022-07-18T21:04:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 8,Field,Culm,,19D34'08.0''S,147D19'30.7''E,,,2021-12-15,2021-12-15,Sugarcane,Culm sugarcane,SRA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5881478,RNA-Seq,202,6415130746,PRJEB44480,SAMEA8659513,1824971313,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525009,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,4,ERP128535,2022-07-25T18:38:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 5,Field,Culm,,19D34'08.0''S,147D19'30.7''E,,,2021-12-15,2021-12-15,Sugarcane,Culm sugarcane,KQ228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5881556,RNA-Seq,202,6583548246,PRJEB44480,SAMEA8659521,1883312563,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525087,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,6,ERP128535,2022-07-14T07:03:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 8,Field,Culm,,19°34'08.0S,147°19'30.7E,,,2021-12-15,2021-12-15,Sugarcane,Culm Sugarcane,Q238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5881560,RNA-Seq,202,6891951746,PRJEB44480,SAMEA8663684,1969920437,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525091,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,24,ERP128535,2022-07-25T18:39:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 5,Field,Culm,,19?34'08.0S,147?19'30.7E,,,2021-12-15,2021-12-15,Sugarcane,Culm Sugarcane,SRA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5881566,RNA-Seq,202,6638930990,PRJEB44480,SAMEA8659520,1896434429,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525097,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,5,ERP128535,2022-07-25T18:38:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 8,Field,Culm,,19°34'08.0S,147°19'30.7E,,,2021-12-15,2021-12-15,Sugarcane,Culm Sugarcane,SRA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
ERR5881604,RNA-Seq,202,7283780034,PRJEB44480,SAMEA8659522,2073337267,UNIVERSITY OF QUEENSLAND,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX5525135,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Saccharum hybrid cultivar,ILLUMINA,2021-12-15T00:00:00Z,7,ERP128535,2022-07-17T08:16:00Z,1.0,Australia,Oceania,,,,,,,,2018-01,,,,,,,2021-12-15,2021-12-15,Australia,Field,Internode 5,Field,Culm,,19°34'08.0S,147°19'30.7E,,,2021-12-15,2021-12-15,Sugarcane,Culm Sugarcane,Q124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none,3,12,4.0,11,Limited allele-specific gene expression in highly polyploid sugarcane,True,"2025-09-01T15:39:44,543","['https://www.nature.com/articles/s41598-025-86463-4', 'https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101', 'https://genome.cshlp.org/content/32/2/297.short']",3.0,"[{""link"": ""https://www.nature.com/articles/s41598-025-86463-4"", ""doi"": ""10.1038/s41598-025-86463-4"", ""status"": ""success""}, {""link"": ""https://pubs.acs.org/doi/abs/10.1021/acs.jafc.4c10101"", ""doi"": ""10.1021/acs"", ""status"": ""success""}, {""link"": ""https://genome.cshlp.org/content/32/2/297.short"", ""doi"": ""10.1101/gr.275904.121"", ""status"": ""success""}]",,1.0,360
