run	bioproject	outcome	reason	percent_mapped	num_mapped	reads_raw
ERR5884010	PRJEB44480	flagged	low_mapping_rate(<30%)	25.172976073107993	11091867	88239978
ERR5936494	PRJEB44480	flagged	low_mapping_rate(<30%)	24.197388811645176	8919565	74553844
ERR5950349	PRJEB44480	flagged	low_mapping_rate(<30%)	19.860372081893356	8085481	81503872
SRR27232036	PRJNA1051631	flagged	low_depth(<1,000,000 mapped)	85.06327439292062	990185	2338418
SRR27232037	PRJNA1051631	flagged	low_depth(<1,000,000 mapped)	67.3943558102099	954976	2840328
SRR29750386	PRJNA1131644	flagged	low_mapping_rate(<30%)	7.752522965389456	1996110	52889162
SRR29750387	PRJNA1131644	flagged	low_mapping_rate(<30%)	12.282616771376288	2860011	46583126
SRR29750388	PRJNA1131644	flagged	low_mapping_rate(<30%)	10.839969669285516	2875580	53057488
SRR32012361	PRJNA1211037	flagged	low_mapping_rate(<30%)	26.93027702526889	47158245	352633326
SRR32012365	PRJNA1211037	flagged	low_mapping_rate(<30%)	28.53755575594571	50076726	352357304
SRR33420033	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	82.59140637089627	176127	466846
SRR33420034	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	80.33949711378534	180653	461946
SRR33420035	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	88.16415122375767	166133	385930
SRR33420036	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	78.0158719950609	181965	479042
SRR33420037	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	79.21748772374465	125025	323716
SRR33420038	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	83.01687619099845	181665	449270
SRR33420039	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	90.35503261848454	123406	286610
SRR33420040	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	81.29256468664214	139181	348292
SRR33420041	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	79.04244792327405	186918	475626
SRR33420042	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	78.65665319953082	241413	619498
SRR33420043	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	79.00881010658183	224020	579140
SRR33420044	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	80.43133178122783	258413	651802
SRR33420045	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	81.20046272447108	179695	448562
SRR33420046	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	91.14303208254768	261987	586728
SRR33420047	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	79.66304344341906	248524	636600
SRR33420048	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	84.36185829865673	229293	554176
SRR33420049	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	82.32710437543898	249666	612522
SRR33420050	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	83.91226794846752	262032	629004
SRR33420051	PRJNA1258708	flagged	low_mapping_rate(<30%);low_depth(<1,000,000 mapped)	21.984294819656615	14866	199672
SRR33420052	PRJNA1258708	flagged	low_depth(<1,000,000 mapped)	87.83011505249112	209322	479934
