run	experiment	bioproject	biosample	organism	instrument	qc_pass	qc_flags	status	layout	cutadapt_reads_processed	cutadapt_reads_with_adapters	cutadapt_bp_processed	cutadapt_bp_quality_trimmed	cutadapt_bp_written	cutadapt_pct_reads_with_adapters	cutadapt_pct_bp_removed	cutadapt_version	detected_layout	n_fastq_files	fastqc_raw_per_base_sequence_quality	fastqc_raw_per_sequence_quality_scores	fastqc_raw_per_base_sequence_content	fastqc_raw_per_sequence_gc_content	fastqc_raw_per_base_n_content	fastqc_raw_sequence_duplication_levels	fastqc_raw_overrepresented_sequences	fastqc_raw_adapter_content	fastqc_raw_n_fail	fastqc_raw_poor_quality_reads	reads_raw	fastqc_raw_percent_gc	fastqc_raw_avg_read_length	fastqc_raw_percent_duplicates	read_length_raw	fastqc_trimmed_per_base_sequence_quality	fastqc_trimmed_per_sequence_quality_scores	fastqc_trimmed_per_base_sequence_content	fastqc_trimmed_per_sequence_gc_content	fastqc_trimmed_per_base_n_content	fastqc_trimmed_sequence_duplication_levels	fastqc_trimmed_overrepresented_sequences	fastqc_trimmed_adapter_content	fastqc_trimmed_n_fail	fastqc_trimmed_poor_quality_reads	reads_trimmed	fastqc_trimmed_percent_gc	fastqc_trimmed_avg_read_length	fastqc_trimmed_percent_duplicates	reads_retained_pct	salmon_version	salmon_library_types	frag_length_mean	frag_length_sd	num_processed	num_mapped	percent_mapped	num_decoy_fragments	num_dovetail_fragments	num_valid_targets	quant_errors	pct_decoy	salmon_expected_format	compatible_fragment_ratio	strand_mapping_bias	num_compatible_fragments	num_assigned_fragments	num_concordant_mappings	num_inconsistent_or_orphan	lib_ISF	lib_ISR	lib_IU	lib_MSF	lib_MSR	lib_MU	lib_OSF	lib_OSR	lib_OU	lib_SF	lib_SR	lib_U	genes_total	genes_detected_gt0	genes_frac_gt0	genes_detected_ge0p5	genes_frac_ge0p5	genes_detected_ge1	genes_frac_ge1	tx_total	tx_detected_gt0	tx_frac_gt0	tx_detected_ge0p5	tx_frac_ge0p5	tx_detected_ge1	tx_frac_ge1	pipeline_version	nextflow_version	fq_lint_raw_pass	fq_lint_trimmed_pass	sra_library_layout	sra_library_selection	sra_library_source	tissue_ontology
ERR4165194	ERX4130513	PRJEB38368	SAMEA6846737	Saccharum hybrid cultivar	Illumina HiSeq 2500	PASS		ok	direct	25412036.0	10736400.0	2554861535.0	4913216.0	2525644755.0	42.2493	1.1436	5.2	PAIRED	2	pass	pass	fail	fail	pass	fail	pass	pass	3	0.0	25412036	52.0	100.5375	51.6809	87-101	pass	pass	fail	fail	pass	fail	pass	pass	3	0.0	25390718	52.0	99.4355	51.6878	99.9161	1.10.3	ISR	167.30651183651312	55.30586828848162	12695359	9580607	75.46542795678326	1401020	29853	294803		11.0357	ISR	1.0	0.0	9580607	9580607	9412326	170563	0	9412326	0	0	0	0	0	0	0	75444	95119	0	190973	97058	0.508229	72702	0.380693	59170	0.309834	294803	113665	0.385563	83780	0.28419	66825	0.226677	v3.23.0-g13328f7	25.10.2	True	True	PAIRED	Oligo-dT	TRANSCRIPTOMIC	
ERR4165230	ERX4130549	PRJEB38368	SAMEA6846749	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	17609716.0	7357344.0	1770391617.0	3175943.0	1752026911.0	41.78	1.0373	5.2	PAIRED	2	pass	pass	fail	fail	pass	warn	pass	pass	2	0.0	17609716	51.5	100.5349	46.2418	88-101	pass	pass	fail	fail	pass	warn	pass	pass	2	0.0	17600190	51.5	99.5122	46.25	99.9459	1.10.3	ISR	170.22295745852512	56.6761164873141	8800095	7342426	83.43575836397221	634805	21504	294803		7.2136	ISR	1.0	0.0	7342426	7342426	7243624	100045	0	7243624	0	0	0	0	0	0	0	40512	59533	0	190973	94885	0.49685	74216	0.38862	61073	0.319799	294803	109969	0.373025	85446	0.289841	69137	0.234519	v3.23.0-g13328f7	25.10.2	True	True	PAIRED	Oligo-dT	TRANSCRIPTOMIC	
ERR4677071	ERX4598695	PRJEB40481	SAMEA7392276	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	24162574.0	8374125.0	2440419974.0	8604136.0	2403005854.0	34.6574	1.5331	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24162574	52.0	101.0	40.9153	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24100740	52.0	99.4245	40.9519	99.7441	1.10.3	ISR	160.42907275019544	55.23519724891076	12050370	10251550	85.07249155005199	790307	42438	294803		6.5584	ISR	1.0	0.0	10251550	10251550	9886949	420371	0	9886949	0	0	0	0	0	0	0	184291	236080	0	190973	111559	0.584161	86650	0.453729	72137	0.377734	294803	131682	0.446678	100583	0.341187	81757	0.277328	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677072	ERX4598696	PRJEB40481	SAMEA7392277	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	24071096.0	8342101.0	2431180696.0	8272903.0	2394218603.0	34.6561	1.5203	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24071096	52.0	101.0	40.9651	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24013660	52.0	99.4279	40.9995	99.7614	1.10.3	ISR	160.52678346551136	55.22166044457259	12006830	10216554	85.08951988160072	786408	41622	294803		6.5497	ISR	1.0	0.0	10216554	10216554	9852892	420989	0	9852892	0	0	0	0	0	0	0	183624	237365	0	190973	111455	0.583617	86624	0.453593	72101	0.377546	294803	131447	0.445881	100536	0.341028	81697	0.277124	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677073	ERX4598697	PRJEB40481	SAMEA7392278	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	24009296.0	8294558.0	2424938896.0	8932762.0	2387467181.0	34.5473	1.5453	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24009296	52.0	101.0	40.832	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	23945692	52.0	99.4187	40.8702	99.7351	1.10.3	ISR	160.61432372964532	55.383627447964045	11972846	10188818	85.09938238577529	782959	41921	294803		6.5395	ISR	1.0	0.0	10188818	10188818	9821524	423256	0	9821524	0	0	0	0	0	0	0	183906	239350	0	190973	111474	0.583716	86446	0.452661	72011	0.377074	294803	131304	0.445396	100434	0.340682	81624	0.276876	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677074	ERX4598698	PRJEB40481	SAMEA7392279	Saccharum hybrid cultivar F36-819	Illumina HiSeq 2500	PASS		ok	direct	21190742.0	7264842.0	2140264942.0	8568727.0	2110072025.0	34.2831	1.4107	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	21190742	50.5	101.0	36.0216	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	21120628	51.0	99.5807	36.058	99.6691	1.10.3	ISR	168.78879729104943	59.442662133268485	10560314	8941341	84.66927214474873	682165	36188	294803		6.4597	ISR	1.0	0.0	8941341	8941341	8550332	458282	0	8550332	0	0	0	0	0	0	0	201866	256416	0	190973	108036	0.565713	87885	0.460196	74367	0.389411	294803	127769	0.433405	102360	0.347215	84741	0.28745	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677075	ERX4598699	PRJEB40481	SAMEA7392280	Saccharum hybrid cultivar F36-819	Illumina HiSeq 2500	PASS		ok	direct	21066698.0	7230856.0	2127736498.0	8159093.0	2098017142.0	34.3236	1.3968	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	21066698	50.5	101.0	35.8206	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	21003410	51.0	99.5803	35.8538	99.6996	1.10.3	ISR	168.73812655346416	59.618318472461794	10501705	8892948	84.68099227696835	679802	35728	294803		6.4733	ISR	1.0	0.0	8892948	8892948	8504728	456979	0	8504728	0	0	0	0	0	0	0	200639	256340	0	190973	108162	0.566373	87909	0.460322	74473	0.389966	294803	127785	0.433459	102399	0.347347	84829	0.287748	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677076	ERX4598700	PRJEB40481	SAMEA7392281	Saccharum hybrid cultivar F36-819	Illumina HiSeq 2500	PASS		ok	direct	21041642.0	7196852.0	2125205842.0	8805704.0	2094961727.0	34.2029	1.4231	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	21041642	50.5	101.0	36.0621	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	20971518	51.0	99.5723	36.1271	99.6667	1.10.3	ISR	168.81410364364154	59.51773183727461	10485759	8880431	84.69039770988442	677966	35278	294803		6.4656	ISR	1.0	0.0	8880431	8880431	8489309	458255	0	8489309	0	0	0	0	0	0	0	200261	257994	0	190973	108017	0.565614	87832	0.459918	74516	0.390191	294803	127592	0.432804	102214	0.34672	84861	0.287857	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677077	ERX4598701	PRJEB40481	SAMEA7392282	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	23237762.0	7980254.0	2347013962.0	8085179.0	2314535034.0	34.3417	1.3838	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	23237762	51.0	101.0	38.169	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	23178238	51.0	99.5767	38.197	99.7438	1.10.3	ISR	166.41185703271748	58.14257631805845	11589119	9699601	83.69575806409443	797714	34811	294803		6.8833	ISR	1.0	0.0	9699601	9699601	9255994	520487	0	9255994	0	0	0	0	0	0	0	233445	287042	0	190973	109260	0.572123	87891	0.460227	74317	0.389149	294803	129829	0.440392	102665	0.34825	84713	0.287355	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677078	ERX4598702	PRJEB40481	SAMEA7392283	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	23129754.0	7946351.0	2336105154.0	7796787.0	2304034467.0	34.3555	1.3728	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	23129754	51.0	101.0	38.2772	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	23074246	51.0	99.579	38.2906	99.76	1.10.3	ISR	166.58674844471568	58.323218192854625	11537123	9656429	83.69876094759499	793659	34635	294803		6.8792	ISR	1.0	0.0	9656429	9656429	9214602	520140	0	9214602	0	0	0	0	0	0	0	232063	288077	0	190973	108990	0.570709	87657	0.459002	74283	0.388971	294803	129437	0.439063	102427	0.347442	84664	0.287188	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
