bioproject	n_runs	n_flagged	instruments	library_types	reads_raw_median	reads_raw_q1	reads_raw_q3	reads_trimmed_median	reads_trimmed_q1	reads_trimmed_q3	reads_retained_pct_median	reads_retained_pct_q1	reads_retained_pct_q3	cutadapt_pct_reads_with_adapters_median	cutadapt_pct_reads_with_adapters_q1	cutadapt_pct_reads_with_adapters_q3	cutadapt_pct_bp_removed_median	cutadapt_pct_bp_removed_q1	cutadapt_pct_bp_removed_q3	fastqc_raw_percent_gc_median	fastqc_raw_percent_gc_q1	fastqc_raw_percent_gc_q3	fastqc_raw_percent_duplicates_median	fastqc_raw_percent_duplicates_q1	fastqc_raw_percent_duplicates_q3	fastqc_raw_avg_read_length_median	fastqc_raw_avg_read_length_q1	fastqc_raw_avg_read_length_q3	fastqc_trimmed_avg_read_length_median	fastqc_trimmed_avg_read_length_q1	fastqc_trimmed_avg_read_length_q3	num_processed_median	num_processed_q1	num_processed_q3	num_mapped_median	num_mapped_q1	num_mapped_q3	percent_mapped_median	percent_mapped_q1	percent_mapped_q3	pct_decoy_median	pct_decoy_q1	pct_decoy_q3	compatible_fragment_ratio_median	compatible_fragment_ratio_q1	compatible_fragment_ratio_q3	strand_mapping_bias_median	strand_mapping_bias_q1	strand_mapping_bias_q3	frag_length_mean_median	frag_length_mean_q1	frag_length_mean_q3	genes_detected_gt0_median	genes_detected_gt0_q1	genes_detected_gt0_q3	genes_frac_ge1_median	genes_frac_ge1_q1	genes_frac_ge1_q3	tx_detected_gt0_median	tx_detected_gt0_q1	tx_detected_gt0_q3	tx_frac_ge1_median	tx_frac_ge1_q1	tx_frac_ge1_q3
PRJEB38368	2	0	Illumina HiSeq 2500	ISR	21510876.0	21510876.0	21510876.0	21495454.0	21495454.0	21495454.0	99.931	99.931	99.931	42.0147	42.0147	42.0147	1.0905	1.0905	1.0905	51.75	51.75	51.75	48.9613	48.9613	48.9613	100.5362	100.5362	100.5362	99.4738	99.4738	99.4738	10747727.0	10747727.0	10747727.0	8461516.5	8461516.5	8461516.5	79.4506	79.4506	79.4506	9.1246	9.1246	9.1246	1.0	1.0	1.0	0.0	0.0	0.0	168.7647	168.7647	168.7647	95971.5	95971.5	95971.5	0.3148	0.3148	0.3148	111817.0	111817.0	111817.0	0.2306	0.2306	0.2306
PRJEB40481	144	0	Illumina HiSeq 2500	ISR	22595665.0	21508237.5	24041787.0	22535558.0	21436181.0	23988286.0	99.7345	99.6652	99.7918	34.4024	33.9045	35.0534	1.4916	1.4306	1.6294	51.0	51.0	52.0	37.1936	35.9598	39.2463	101.0	101.0	101.0	99.4519	99.3802	99.5272	11267779.0	10718090.5	11994143.0	9720762.0	9349563.75	10232339.25	86.5602	85.6484	87.2151	5.662	5.4373	5.9858	1.0	1.0	1.0	0.0	0.0	0.0	166.0168	163.4146	167.5121	109364.5	105508.25	114777.75	0.3989	0.3752	0.41	129322.5	123839.25	135495.25	0.2941	0.2756	0.3027
PRJEB41560	36	0	Illumina HiSeq 2500	ISR	37785501.0	35089717.0	42901292.0	37704839.0	35008487.5	42751106.5	99.7289	99.6719	99.7661	11.7657	11.4951	12.1058	0.5332	0.4798	0.5722	52.5	52.0	52.625	47.8772	45.0617	49.7968	99.4417	99.3116	99.5623	99.0785	98.911	99.1687	18852419.5	17504243.75	21375553.25	15828783.0	14946531.0	17449184.25	83.7844	82.5813	85.5225	5.9019	5.1832	6.5228	1.0	1.0	1.0	0.0	0.0	0.0	164.4457	161.7656	166.9555	122442.5	121493.25	123521.25	0.399	0.3912	0.4055	145053.0	143467.0	146941.0	0.2883	0.2821	0.2958
PRJEB44302	12	0	Illumina HiSeq 2000;Illumina HiSeq 2500	ISR	43323909.0	40286342.5	45254512.5	43240515.0	40209559.5	45184510.5	99.802	99.7743	99.8138	35.3833	35.1646	35.7764	1.5249	1.4853	1.5442	50.5	50.5	51.0	46.0399	44.4321	47.2332	101.0	101.0	101.0	99.3768	99.3668	99.4272	21620257.5	20104779.75	22592255.25	18197408.5	16767724.25	19408566.75	85.4353	83.3438	86.4684	5.943	5.6204	6.8069	1.0	1.0	1.0	0.0	0.0	0.0	166.0552	165.3711	166.7065	114040.5	106489.25	117854.5	0.3881	0.3538	0.4022	140246.5	128434.25	145329.5	0.2901	0.2668	0.302
PRJEB44480	360	3	Illumina NovaSeq 6000	ISR;IU	70251684.0	65398626.5	74942227.0	70002831.0	64924815.5	74718520.5	99.6375	99.1753	99.7938	34.8434	34.0191	35.4808	0.8492	0.7325	1.2339	47.0	46.0	49.0	70.2431	68.0009	72.8473	101.0	101.0	101.0	100.0906	99.9131	100.1251	35001415.5	32462407.75	37359260.25	22071283.0	18857970.5	24404240.0	63.2447	55.6525	67.7263	13.6257	11.9213	16.9447	1.0	1.0	1.0	0.0	0.0	0.0	184.7232	181.5821	188.1977	107476.5	105012.0	110158.25	0.2986	0.2859	0.3111	131681.0	128013.0	135398.75	0.2136	0.2023	0.2235
PRJEB44944	10	0	Illumina HiSeq 2000;Illumina HiSeq 2500	IU	46301396.0	42410075.5	47678507.0	46274093.0	42400858.5	47663382.5	99.9731	99.9662	99.9781	30.9691	30.6743	31.2147	0.4476	0.4375	0.4663	53.0	52.0	53.0	40.9689	40.3537	41.7041	150.0	150.0	150.0	149.1592	149.1491	149.1759	23137046.5	21200429.25	23831691.25	17629662.0	16685185.0	18926029.5	80.237	74.4117	81.1065	9.4729	8.9627	11.981	1.0	1.0	1.0	0.5028	0.5021	0.503	262.4096	259.6351	270.04	117257.0	116152.75	118228.0	0.3956	0.3931	0.3975	146654.0	144856.25	147191.5	0.3033	0.298	0.3038
PRJEB7529	3	0	Illumina HiSeq 2500	IU	73125170.0	73125170.0	73125170.0	72270706.0	72270706.0	72270706.0	98.8382	98.8382	98.8382	32.8292	32.8292	32.8292	3.5229	3.5229	3.5229	51.0	51.0	51.0	52.1145	52.1145	52.1145	101.0	101.0	101.0	97.9288	97.9288	97.9288	36135353.0	36135353.0	36135353.0	19334893.0	19334893.0	19334893.0	54.3144	54.3144	54.3144	17.0117	17.0117	17.0117	1.0	1.0	1.0	0.5039	0.5039	0.5039	175.013	175.013	175.013	131749.0	131749.0	131749.0	0.3864	0.3864	0.3864	162097.0	162097.0	162097.0	0.2849	0.2849	0.2849
PRJNA1008895	54	0	Illumina NovaSeq 6000	IU	59221007.0	57322908.0	63077083.5	59215393.0	57319345.5	63070364.0	99.9903	99.9893	99.991	34.178	34.123	34.2866	0.3332	0.3311	0.3362	53.0	53.0	54.0	48.294	46.4207	50.9383	149.6492	149.5419	149.7619	148.4619	148.3416	148.5873	29607696.5	28659672.75	31535182.0	23933626.0	22786524.5	25848932.25	81.2571	79.6596	83.0627	9.0465	7.9198	10.0324	1.0	1.0	1.0	0.4964	0.496	0.4967	284.7113	280.3622	289.3085	122702.5	118423.25	128726.5	0.3901	0.3701	0.4106	154902.5	148799.75	162095.75	0.2949	0.2786	0.3092
PRJNA1010968	12	0	Illumina NovaSeq 6000	IU	61776254.0	60381634.0	63788034.0	61772456.0	60377406.0	63784116.0	99.9934	99.9928	99.9939	29.3134	29.2164	29.5432	0.5866	0.5634	0.6331	58.0	58.0	58.0	59.3586	58.7668	60.153	150.0	150.0	150.0	149.0423	148.9733	149.075	30886228.0	30188703.0	31892058.0	26521449.5	25764550.0	27451212.0	85.5841	85.345	85.94	8.1184	8.0307	8.323	1.0	1.0	1.0	0.5003	0.5002	0.5005	289.3018	286.8028	291.3141	114900.5	114551.75	115355.25	0.3289	0.3258	0.3349	140376.0	139881.0	140978.25	0.2398	0.2381	0.2454
PRJNA1045373	18	0	Illumina NovaSeq 6000	IU	61336333.0	54918108.5	65066841.0	61310506.0	54892798.5	65038530.0	99.9555	99.9541	99.9574	33.1826	33.073	33.2873	0.7511	0.7167	0.7949	50.0	49.625	50.0	44.3898	43.1647	47.0822	150.0	150.0	150.0	148.724	148.6428	148.7531	30655253.0	27446399.25	32519265.0	21928810.0	20593648.25	24521706.25	74.1659	73.1317	75.7489	11.3426	11.0496	11.4497	1.0	1.0	1.0	0.4972	0.4966	0.4977	299.1139	293.1685	314.0439	124831.0	121560.0	127773.5	0.4162	0.4064	0.422	157339.5	153386.25	161156.0	0.3141	0.3084	0.3184
