run	bioproject	genotype_clean	organism_sra	species_group	divergence_tier	tissue	instrument	lib_type	qc_flags	qc_pass	percent_mapped	num_mapped	genes_detected_gt0	genes_detected_ge1	tx_detected_gt0	pct_decoy	reads_raw	fastqc_raw_avg_read_length
ERR5881912	PRJEB44480	Q135	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.79304408852677	20243246	105147	56838	127743	14.5423	68059566	101.0
ERR5880619	PRJEB44480	Q135	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	66.4213370721192	23530027	108638	59634	133925	11.4091	71027494	101.0
ERR5881901	PRJEB44480	SRA1	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	51.46861726423653	16691410	106780	58103	129045	17.5494	65250582	101.0
ERR5881831	PRJEB44480	Q238	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	39.50002694249834	12388429	95726	48937	112460	20.8207	63152408	101.0
ERR5881820	PRJEB44480	Q135	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	51.73767626878065	19341482	107278	54862	129929	17.7721	74954116	101.0
ERR5881663	PRJEB44480	SRA2	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	74.12725260824483	24386941	102824	57517	127025	9.8653	65990214	101.0
ERR5881618	PRJEB44480	Q186	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	51.354530347987605	16336384	102733	53137	123249	16.7544	63987526	101.0
ERR5881616	PRJEB44480	SRA3	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.49195997844878	22949628	107129	57321	131725	15.0771	77433968	101.0
ERR5881604	PRJEB44480	Q124	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	67.74294909857977	24335849	111155	59259	136740	13.3354	72116634	101.0
ERR5881566	PRJEB44480	SRA3	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	48.53011202063327	15766522	101745	54026	122031	21.6937	65731990	101.0
ERR5881560	PRJEB44480	SRA8	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	50.67655147176372	17184261	108859	54524	130254	19.9755	68237146	101.0
ERR5881556	PRJEB44480	Q238	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	54.45660825367956	17660870	101484	53629	123127	14.7641	65183646	101.0
ERR5881478	PRJEB44480	KQ228	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	60.97741477083376	19303658	108204	55413	130696	15.999	63516146	101.0
