run	bioproject	genotype	organism	rule	detail
SRR7651129	PRJNA480179	Q200	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7651130	PRJNA480179	Q200	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7651132	PRJNA480179	Q200	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502913	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502914	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502912	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502909	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502910	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502911	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502905	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502904	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502922	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502923	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502920	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502921	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502925	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502924	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502926	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502927	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502929	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502928	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502930	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502919	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502946	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502983	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502984	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502965	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502964	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502993	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502991	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502990	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502989	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502988	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502963	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502962	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502961	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502958	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502934	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502933	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502982	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502981	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502980	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502979	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502996	PRJNA479814	Q208	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	fastqc_per_base_quality_fail
SRR7502967	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR7502966	PRJNA479814	KQ228	Saccharum hybrid cultivar	R4_qc_flag_mapping_independent	low_depth
SRR33420099	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420100	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420069	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420070	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420071	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420072	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420073	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420074	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420075	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420034	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420036	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420035	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420062	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420061	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420060	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420033	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420078	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420097	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420098	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420041	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420042	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420043	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420076	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420077	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420085	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420057	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420058	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420059	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420094	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420093	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420095	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420096	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420087	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420102	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420103	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420104	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420088	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420086	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420083	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420092	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420101	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420091	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420050	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420047	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420049	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420048	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420052	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420051	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420054	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420055	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420084	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420053	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420037	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420068	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420063	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420038	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420064	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420065	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420081	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420080	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420046	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420079	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420044	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420045	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420040	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420039	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420089	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420090	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420056	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420082	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420067	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR33420066	PRJNA1258708	SP80-3280	Saccharum hybrid cultivar SP80-3280	R4_qc_flag_mapping_independent	low_depth
SRR25760409	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760410	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760401	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760389	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760412	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760414	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760411	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760396	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760397	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760398	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760399	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760400	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760376	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760375	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760374	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760373	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760372	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760371	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
SRR25760377	PRJNA1008895	GT42	Saccharum officinarum	R3_genotype_species_conflict	Saccharum officinarum x54; (indefinite) x39; Saccharum hybrid cultivar (non-R570) x27
