genotype_clean	species_group	n_runs	n_bioprojects	map_median	map_q1	map_q3	decoy_median	genes_median	genes_q1	genes_q3	depth_median_M
R570	R570 (reference genotype)	66	31	86.66	84.07	87.55	5.99	118366	116927	142933	10.89
F36-819	Saccharum hybrid cultivar (non-R570)	37	2	86.62	86.15	86.71	5.68	108272	107822	110719	9.5
GL05-136	Saccharum hybrid cultivar (non-R570)	12	1	84.68	82.15	86.17	8.02	126928	126362.75	127801	23.42
Zhongzhe No.2	Saccharum hybrid cultivar (non-R570)	42	2	84.58	84.01	85.23	7.49	126388	121295.5	127446.75	19.36
Zhongzhe No.9	Saccharum hybrid cultivar (non-R570)	42	2	84.58	83.67	85.03	7.45	125912	120468	128204.25	19.67
ZZ9	Saccharum hybrid cultivar (non-R570)	30	1	84.42	83.36	85.05	7.27	127290	124977	128213	18.43
RB975375	Saccharum hybrid cultivar (non-R570)	24	1	82.54	77.08	83.79	8.02	116827	108508.5	120104.25	16.19
Xintaitang 22	Saccharum hybrid cultivar (non-R570)	78	1	81.93	80.32	83.9	9.29	114590	113276.5	116723.75	19.13
GT86-887	Saccharum hybrid cultivar (non-R570)	22	2	81.6	80.36	82.35	8.77	116706	115208	118787.75	24.34
FN15	Saccharum hybrid cultivar (non-R570)	18	2	80.49	71.08	82.67	11.38	113902	111483.75	116453.75	22
ZZ1	Saccharum hybrid cultivar (non-R570)	16	2	80.31	79.05	82.42	8.62	132250	130165.75	133575.75	26.5
IACSP96-7569	Saccharum hybrid cultivar (non-R570)	12	1	80.3	79.37	80.59	9.46	109813	108293.75	111542	20.22
GT11	Saccharum hybrid cultivar (non-R570)	11	2	77.35	76.74	80.88	8.7	118589	118079.5	119728	21.06
RB937570	Saccharum hybrid cultivar (non-R570)	24	1	76.99	63.47	81.69	11.26	123562	120402.5	125184	38.18
SP80-3280	Saccharum hybrid cultivar (non-R570)	138	11	76.68	68.77	85.1	7.42	112787	108843.25	118885	13.03
C416	Saccharum hybrid cultivar (non-R570)	25	1	74.86	70.1	76.37	7.17	114979	111791	118095	18
C424	Saccharum hybrid cultivar (non-R570)	24	1	72.99	70.51	75.41	7.17	115254	110994	118205.75	17.84
C429	Saccharum hybrid cultivar (non-R570)	24	1	72.75	68.5	76.34	7.49	116053	111937.25	118391.5	18.44
C402	Saccharum hybrid cultivar (non-R570)	24	1	72.55	69.81	75.02	7.68	116189	112715	119069	17.63
C411	Saccharum hybrid cultivar (non-R570)	23	1	72.51	69.69	74.47	7.24	114014	111132	117471.5	18.19
C419	Saccharum hybrid cultivar (non-R570)	24	1	72.37	68.95	75.08	7.6	114851	113161.5	117079	17.48
C414	Saccharum hybrid cultivar (non-R570)	24	1	72.3	68.6	76.07	7.33	113640	111683.75	116436.5	17.13
C418	Saccharum hybrid cultivar (non-R570)	24	1	72.15	69.26	75.9	7.3	114791	110007.25	118099.75	17.45
Xuezhe	Saccharum hybrid cultivar (non-R570)	12	1	71.92	58.72	76.99	7.76	102538	101027	103720	15.3
