bioproject	species_group	n	map	genes	depth	baseline	map_baseline	genes_baseline	depth_baseline	delta_map	delta_genes	depth_ratio
PRJEB40481	Saccharum hybrid cultivar (non-R570)	72	86.4647574217928	109364.5	9497422	R570 (reference genotype)	87.42499723716327	117334	9842908.5	-0.96	-7970	0.965
PRJEB40481	Saccharum spontaneum	36	85.6102061695471	100216	10147688.5	R570 (reference genotype)	87.42499723716327	117334	9842908.5	-1.81	-17118	1.031
PRJEB44302	Saccharum hybrid cultivar (non-R570)	4	85.46141782363753	116401	19287529	R570 (reference genotype)	86.734329067049	127662	19680021	-1.27	-11261	0.98
PRJEB44302	Saccharum officinarum	4	82.3534778785731	110999	16757947.5	R570 (reference genotype)	86.734329067049	127662	19680021	-4.38	-16663	0.852
PRJEB44302	Saccharum spontaneum	3	86.41832331562772	107082	18603560	R570 (reference genotype)	86.734329067049	127662	19680021	-0.32	-20580	0.945
PRJNA1075467	Saccharum officinarum	14	63.99139509029941	81044	11703187.5	Saccharum hybrid cultivar (non-R570)	66.59437147025662	67478	12699128	-2.6	13566	0.922
PRJNA1135804	Saccharum spontaneum	12	84.83599704678002	101914	23985903	Saccharum officinarum	84.12567603254351	119237.5	23808137.5	0.71	-17324	1.007
PRJNA335885	Saccharum officinarum	2	75.1287617034519	62400.5	1443001.5	Saccharum hybrid cultivar (non-R570)	80.70180022412006	85974.5	6054882.5	-5.57	-23574	0.238
PRJNA335885	Saccharum spontaneum	2	74.1828749354528	68936	2418361.5	Saccharum hybrid cultivar (non-R570)	80.70180022412006	85974.5	6054882.5	-6.52	-17038	0.399
PRJNA606674	Saccharum officinarum	2	43.26682176265359	88901	12940113.5	Saccharum hybrid cultivar (non-R570)	61.282367726856535	114283.5	17585529.5	-18.02	-25382	0.736
PRJNA630147	Saccharum spontaneum	24	71.89590004883496	106679.5	18146244	Saccharum hybrid cultivar (non-R570)	72.7300056248944	114987.5	17678533	-0.83	-8308	1.026
PRJNA681593	Saccharum spontaneum	2	82.86622272198943	116565.5	69168046	Saccharum hybrid cultivar (non-R570)	82.02400984734196	115407.5	18223883	0.84	1158	3.795
PRJNA770031	Tripidium arundinaceum (outgroup)	12	42.195177256427144	85571	19236878.5	Saccharum hybrid cultivar (non-R570)	43.718270607518896	112922.5	17880384	-1.52	-27352	1.076
PRJNA910660	Saccharum officinarum	6	78.64856600847538	108153	24396672	Saccharum hybrid cultivar (non-R570)	82.90895338188214	125027.5	25766898.5	-4.26	-16874	0.947
PRJNA910660	Saccharum spontaneum	6	82.99762527879687	112853	28058861	Saccharum hybrid cultivar (non-R570)	82.90895338188214	125027.5	25766898.5	0.09	-12174	1.089
