gene	R570_mean_TPM	lost_in_Saccharum_hybrid_cultivar	lost_in_Saccharum_officinarum	lost_in_Saccharum_spontaneum	lost_in_Tripidium_arundinaceum
SoffiXsponR570.02Bg029700.v2.1	901.564	no	no	no	yes
SoffiXsponR570.07Ag064600.v2.1	882.662	no	no	no	yes
SoffiXsponR570.02Bg278300.v2.1	526.697	no	no	no	yes
SoffiXsponR570.04Eg065000.v2.1	473.267	no	no	no	yes
SoffiXsponR570.06Eg126400.v2.1	444.582	no	no	no	yes
SoffiXsponR570.05Bg195300.v2.1	422.645	no	no	no	yes
SoffiXsponR570.01Bg230600.v2.1	382.744	no	no	no	yes
SoffiXsponR570.10Bg057700.v2.1	374.879	no	no	no	yes
SoffiXsponR570.8_5Ag056300.v2.1	372.648	no	no	no	yes
SoffiXsponR570.08Eg136600.v2.1	359.545	no	no	no	yes
SoffiXsponR570.01Cg261500.v2.1	357.861	no	no	no	yes
SoffiXsponR570.01Eg096600.v2.1	295.195	no	no	no	yes
SoffiXsponR570.01Bg499400.v2.1	290.816	no	no	no	yes
SoffiXsponR570.09Bg092200.v2.1	277.71	no	no	no	yes
SoffiXsponR570.09Bg037000.v2.1	265.867	no	no	no	yes
SoffiXsponR570.05Bg012600.v2.1	263.739	no	no	no	yes
SoffiXsponR570.04Ag179100.v2.1	263.29	no	no	no	yes
SoffiXsponR570.6_9Ag104800.v2.1	258.959	no	no	no	yes
SoffiXsponR570.09Cg031300.v2.1	255.359	no	no	no	yes
SoffiXsponR570.05Bg116400.v2.1	242.575	no	no	no	yes
SoffiXsponR570.06Eg142300.v2.1	238.399	no	no	no	yes
SoffiXsponR570.07Eg114800.v2.1	235.411	no	no	no	yes
SoffiXsponR570.05Fg042700.v2.1	218.517	no	no	no	yes
SoffiXsponR570.08Eg095200.v2.1	211.439	no	no	no	yes
SoffiXsponR570.01Cg393800.v2.1	205.975	no	no	no	yes
SoffiXsponR570.10Cg068100.v2.1	200.463	no	no	no	yes
SoffiXsponR570.05Eg196400.v2.1	200.042	no	no	no	yes
SoffiXsponR570.05Ag122000.v2.1	198.912	no	no	no	yes
SoffiXsponR570.07Dg060400.v2.1	188.688	no	no	no	yes
SoffiXsponR570.05Eg339500.v2.1	186.488	no	no	no	yes
SoffiXsponR570.06Cg125500.v2.1	181.103	no	no	no	yes
SoffiXsponR570.09Ag037500.v2.1	178.301	no	no	no	yes
SoffiXsponR570.05Bg221800.v2.1	178.225	no	no	no	yes
SoffiXsponR570.07Dg060300.v2.1	162.853	no	no	no	yes
SoffiXsponR570.09Eg040000.v2.1	160.434	no	no	no	yes
SoffiXsponR570.06Ag033700.v2.1	159.981	no	no	no	yes
SoffiXsponR570.9us90g032200.v2.1	158.246	no	no	no	yes
SoffiXsponR570.08Ag159700.v2.1	155.74	no	no	no	yes
SoffiXsponR570.09Ag037700.v2.1	155.138	no	no	no	yes
SoffiXsponR570.03Dg280900.v2.1	151.193	no	no	no	yes
SoffiXsponR570.04Gg029100.v2.1	149.632	no	no	no	yes
SoffiXsponR570.09Ag114800.v2.1	147.36	no	no	no	yes
SoffiXsponR570.01Bg470500.v2.1	145.968	no	no	no	yes
SoffiXsponR570.10Ag097600.v2.1	144.368	no	no	no	yes
SoffiXsponR570.8_10Ag329300.v2.1	144.243	no	no	no	yes
SoffiXsponR570.06Eg123200.v2.1	144.064	no	no	no	yes
SoffiXsponR570.06Fg044100.v2.1	143.87	no	no	no	yes
SoffiXsponR570.03Eg114300.v2.1	140.661	no	no	no	yes
SoffiXsponR570.01Ag520400.v2.1	140.627	no	no	no	yes
SoffiXsponR570.07Cg179500.v2.1	139.891	no	no	no	yes
SoffiXsponR570.10Dg090300.v2.1	139.168	no	no	no	yes
SoffiXsponR570.06Cg183900.v2.1	135.808	no	no	no	yes
SoffiXsponR570.01Ag520500.v2.1	135.58	no	no	no	yes
SoffiXsponR570.04Fg125600.v2.1	132.903	no	no	no	yes
SoffiXsponR570.01Ag549900.v2.1	132.604	no	no	no	yes
SoffiXsponR570.03Ag343100.v2.1	132.007	no	no	no	yes
SoffiXsponR570.05Cg040000.v2.1	129.916	no	no	no	yes
SoffiXsponR570.07Cg129000.v2.1	127.938	no	no	no	yes
SoffiXsponR570.02Eg084300.v2.1	126.75	no	no	no	yes
SoffiXsponR570.6us88g110200.v2.1	126.465	no	no	no	yes
SoffiXsponR570.6us88g109900.v2.1	124.315	no	no	no	yes
SoffiXsponR570.07Dg112100.v2.1	123.293	no	no	no	yes
SoffiXsponR570.05Fg274000.v2.1	122.093	no	no	no	yes
SoffiXsponR570.01Eg041700.v2.1	121.789	no	no	no	yes
SoffiXsponR570.04Ag084600.v2.1	119.582	no	no	no	yes
SoffiXsponR570.5_9Ag045900.v2.1	119.444	no	no	no	yes
SoffiXsponR570.09Eg035300.v2.1	118.725	no	no	no	yes
